Consumer ID,Gender,Country,Age Range,Month,Year,Marketing optin,Status,Number of orders,New active,New repeaters,Consumer LTV
13139819,F,Italy,25-29,1,2020,0,Active,4,0,1,3160
13139919,F,Italy,30-34,1,2020,0,Active,4,0,1,4794
13010119,F,Italy,18-24,1,2020,0,Active,4,0,1,2063
13110119,F,Italy,30-34,1,2020,1,Active,4,0,1,2058
13132319,F,Italy,18-24,1,2020,1,Active,4,0,1,1648
13132519,F,Italy,18-24,1,2020,0,Active,3,0,1,1066
13132619,F,Italy,18-24,1,2020,0,Active,4,0,1,780
13132719,F,Italy,40+,1,2020,1,Active,7,0,1,1537
13132819,F,Italy,18-24,1,2020,0,Active,6,0,1,1310
13132919,F,Italy,30-34,1,2020,1,Active,7,0,1,1916
13133019,F,Italy,18-24,1,2020,1,Active,2,0,1,724
13133119,F,Italy,25-29,1,2020,0,Active,1,1,0,383
13133219,F,Italy,18-24,1,2020,1,Active,1,1,0,447
13133319,F,Italy,40+,1,2020,0,Active,6,0,1,1444
13133419,F,Italy,30-34,1,2020,0,Active,1,1,0,144
13133519,F,Italy,18-24,1,2020,0,Active,5,0,1,977
13133619,F,Italy,18-24,1,2020,1,Active,8,0,1,1654
13133719,F,Italy,25-29,1,2020,1,Active,8,0,1,1679
13133819,F,Italy,25-29,1,2020,1,Active,7,0,1,1911
13133919,F,Italy,25-29,1,2020,1,Active,1,1,0,258
13134019,F,Italy,30-34,1,2020,0,Active,10,0,1,3887
13134119,F,Italy,40+,1,2020,1,Active,1,1,0,345
13134319,F,Italy,18-24,1,2020,0,Active,2,0,1,527
13990119,F,Italy,25-29,1,2020,1,Active,1,1,0,205
13990219,F,Italy,30-34,1,2020,0,Active,1,1,0,805
13990319,F,Italy,25-29,1,2020,0,Active,1,1,0,526
13990419,F,Italy,30-34,1,2020,0,Active,1,1,0,1491
13990519,F,Italy,35-39,1,2020,0,Active,2,0,1,2439
13990619,F,Italy,40+,1,2020,1,Active,2,0,1,2049
13990719,F,Italy,40+,1,2020,0,Active,3,0,1,1851
13990819,F,Italy,18-24,1,2020,0,Active,2,0,1,1156
13990919,F,Italy,18-24,1,2020,0,Active,3,0,1,1604
13991019,F,Italy,35-39,1,2020,1,Active,1,1,0,192
13991119,F,Italy,35-39,1,2020,0,Active,1,1,0,990
13991419,F,Italy,18-24,1,2020,1,Active,2,0,1,1940
13991519,F,Italy,25-29,1,2020,1,Active,1,1,0,1491
13991619,F,Italy,35-39,1,2020,0,Active,3,0,1,2649
13991719,F,Italy,18-24,1,2020,1,Active,1,1,0,636
13991819,F,Italy,25-29,1,2020,1,Active,2,0,1,1272
13991919,F,Italy,25-29,1,2020,0,Active,1,1,0,255
13992019,F,Italy,35-39,1,2020,1,Active,5,0,1,4272
13992119,F,Italy,18-24,1,2020,0,Active,1,1,0,948
13995119,F,Italy,30-34,1,2020,0,Active,1,1,0,1491
13130119,F,Italy,25-29,1,2020,0,Active,4,0,1,1767
13130219,F,Italy,30-34,1,2020,1,Active,3,0,1,1059
13130319,F,Italy,18-24,1,2020,1,Active,1,1,0,447
13130419,F,Italy,18-24,1,2020,1,Active,2,0,1,830
13130519,F,Italy,30-34,1,2020,1,Active,1,1,0,383
13130619,F,Italy,35-39,1,2020,1,Active,1,1,0,383
13130719,F,Italy,35-39,1,2020,1,Active,2,0,1,551
13130819,F,Italy,18-24,1,2020,1,Active,2,0,1,336
13130919,F,Italy,18-24,1,2020,1,Active,2,0,1,430
13131019,F,Italy,25-29,1,2020,1,Active,1,1,0,510
