Consumer ID,Order ID,Month,Year,Period,Total order value,Discount,Line Value (net discount),Line SKU Production Cost,Line Category,Line SKU,Average Time between Purchases
13121938,13121938B,3,2020,3/1/2020,168 €,0 €,168 €,25 €,Small leather goods,SMA4,
13121938,13121938C,5,2020,5/1/2020,220 €,0 €,220 €,40 €,Fragrances,FRA4,2
13121938,13121938D,7,2020,7/1/2020,240 €,0 €,240 €,43 €,Fragrances,FRA5,2
13139819,13139819A,1,2020,1/1/2020,313 €,63 €,250 €,94 €,Accessories,ACC4,
13139819,13139819B,9,2020,9/1/2020,951 €,0 €,951 €,247 €,Mini bags,MIN3,8
13139819,13139819C,5,2020,5/1/2020,948 €,142 €,806 €,303 €,Bags,BAG4,4
13139819,13139819D,8,2020,8/1/2020,948 €,0 €,948 €,303 €,Bags,BAG4,3
13139919,13139919A,1,2020,1/1/2020,"1,491 €",298 €,"1,193 €",507 €,Bags,BAG2,
13139919,13139919B,11,2020,11/1/2020,"1,101 €",0 €,"1,101 €",396 €,Bags,BAG1,10
13139919,13139919C,6,2020,6/1/2020,"1,101 €",0 €,"1,101 €",396 €,Bags,BAG1,5
13139919,13139919D,8,2020,8/1/2020,"1,101 €",0 €,"1,101 €",396 €,Bags,BAG1,2
13010119,13010119A,1,2020,1/1/2020,492 €,98 €,394 €,123 €,Shoes,SHO11,
13010119,13010119B,11,2020,11/1/2020,510 €,0 €,510 €,163 €,Boots,BOO2,10
13010119,13010119C,11,2020,11/1/2020,523 €,0 €,523 €,157 €,Sandals,SAN6,0
13010119,13010119D,11,2020,11/1/2020,538 €,0 €,538 €,145 €,Sandals,SAN10,0
13110119,13110119A,1,2020,1/1/2020,488 €,98 €,390 €,156 €,Sandals,SAN4,
13110119,13110119B,9,2020,9/1/2020,440 €,0 €,440 €,136 €,Sandals,SAN5,8
13110119,13110119C,10,2020,10/1/2020,538 €,0 €,538 €,145 €,Sandals,SAN10,1
13110119,13110119D,9,2020,9/1/2020,592 €,0 €,592 €,166 €,Sandals,SAN1,1
13132319,13132319A,1,2020,1/1/2020,506 €,101 €,405 €,147 €,Sandals,SAN12,
13132319,13132319B,1,2020,1/1/2020,312 €,62 €,250 €,100 €,Sneakers,SNE1,0
13132319,13132319C,5,2020,5/1/2020,447 €,0 €,447 €,156 €,Apparel,APP3,4
13132319,13132319D,3,2020,3/1/2020,383 €,0 €,383 €,123 €,Apparel,APP1,2
13132519,13132519A,1,2020,1/1/2020,447 €,89 €,358 €,156 €,Apparel,APP3,
13132519,13132519B,5,2020,5/1/2020,447 €,0 €,447 €,156 €,Apparel,APP3,4
13132519,13132519C,7,2020,7/1/2020,172 €,0 €,172 €,65 €,Small leather goods,SMA2,2
13132619,13132619A,1,2020,1/1/2020,168 €,34 €,134 €,25 €,Small leather goods,SMA4,
13132619,13132619C,11,2020,11/1/2020,210 €,0 €,210 €,38 €,Fragrances,FRA2,10
13132619,13132619D,10,2020,10/1/2020,210 €,0 €,210 €,38 €,Fragrances,FRA2,1
13132619,13132619E,10,2020,10/1/2020,192 €,0 €,192 €,35 €,Fragrances,FRA1,0
13132719,13132719A,1,2020,1/1/2020,240 €,48 €,192 €,43 €,Fragrances,FRA5,
13132719,13132719B,9,2020,9/1/2020,192 €,0 €,192 €,35 €,Fragrances,FRA1,8
13132719,13132719C,5,2020,5/1/2020,240 €,0 €,240 €,43 €,Fragrances,FRA5,4
13132719,13132719D,7,2020,7/1/2020,210 €,0 €,210 €,38 €,Fragrances,FRA2,2
13132719,13132719E,7,2020,7/1/2020,240 €,0 €,240 €,43 €,Fragrances,FRA5,0
13132719,13132719F,7,2020,7/1/2020,210 €,0 €,210 €,38 €,Fragrances,FRA2,0
13132719,13132719G,10,2020,10/1/2020,205 €,0 €,205 €,37 €,Fragrances,FRA3,3
13132819,13132819A,1,2020,1/1/2020,210 €,42 €,168 €,38 €,Fragrances,FRA2,
13132819,13132819B,8,2020,8/1/2020,210 €,0 €,210 €,38 €,Fragrances,FRA2,7
13132819,13132819C,6,2020,6/1/2020,220 €,0 €,220 €,40 €,Fragrances,FRA4,2
13132819,13132819D,8,2020,8/1/2020,220 €,0 €,220 €,40 €,Fragrances,FRA4,2
